type,name,description,is_default
health,ОРВИ,"Лихорадка (до 38°С), насморк с обильным слизистым отделяемым, заложенность носа, кашель, чихание, боль в горле"
health,Хроническая болезнь почек,"Постепенная потеря функции почек происходит в течение нескольких месяцев или лет"
health,Социальное тревожное расстройство,"Также известное как социальная фобия, представляет собой тревожное расстройство, характеризующееся чувствами страха и тревоги в социальных ситуациях"
health,Вывих пальца,"Cмещение фаланги в межфаланговых сочленениях"
health,Здоровый,"Здоровье как у космонавта"
health,Малярия,"Малярия сопровождается лихорадкой, ознобами, спленомегалией (увеличением размеров селезёнки), гепатомегалией (увеличением размеров печени), анемией"
health,Волчанка,"Болезненные и опухшие суставы, лихорадку, боль в груди, выпадение волос, язвы во рту, увеличение лимфатических узлов, чувство усталости и красную сыпь, которая чаще всего появляется на лице"
health,Психоз,"Расстройство восприятия реальной ситуации. В отличие от невроза, при психозе больной не осознает своего состояния"
health,Перелом копчика,"Нарушение целостности копчиковой кости."
health,Грыжа позвоночника,"Патологическое состояние, при котором внутренние органы выпячиваются из одной полости в другую"
health,Сифилис,"Системное венерическое инфекционное заболевание с поражением кожи, слизистых оболочек, внутренних органов, костей, нервной системы"
health,Болезнь Альцгеймера,"Расстройство кратковременной памяти"
health,Шизофрения,"Заболевание, сопровождающееся нарушением мышления, галлюцинациями и бредом"
health,Сколиоз,"Деформация позвоночника, характеризующаяся его боковым искривлением"
health,Остеохондроз,"Деформация позвоночника, характеризующаяся его боковым искривлением"
health,Туберкулёз,"Длительный кашель с мокротой"
health,Сахарный диабет,"Часто известный просто как диабет, представляет собой группу распространенных эндокринных заболеваний, характеризующихся устойчивым высоким уровнем сахара в крови"
health,Панические атаки,"Приступы необъяснимого страха и тревоги"
health,Рахит,"Мало кальция в организме, хрупкие кости"
health,Энурез,"Мало кальция в организме, хрупкие кости"
health,ВИЧ,"Вирус поражает клетки иммунной системы, имеющие на своей поверхности"
health,Врожденный порок сердца,"Учащенное дыхание, синюшность кожи (цианоз), недостаточную прибавку в весе и чувство усталости"
health,Биполярное расстройство,"Резкие перепады настроения от эйфории до сильной подавленности "
health,Синдром хрустального человека,"Повышенная хрупкость костей и склонность к множественным переломам"
health,Ожог глаза,"Повышенная хрупкость костей и склонность к множественным переломам"
health,Covid-19,"Тяжёлая острая респираторная инфекция (повышенная температура тела, утомляемость, сухой кашель)"
health,Паркинсон,"Медленно прогрессирующее хроническое нейродегенеративное неврологическое заболевание. Человек становится медленным, заторможенным"
health,Депрессия,"Подавленность, утрата возможности получать удовольствие от жизни"
health,Плоскостопие,"Приводит к нарушению функции ходьбы"
health,Ожирение,"Приводит к нарушению функции ходьбы"
health,Обычный,"Обычное здоровье, иногда хандрит",true